SampleID	Species	Genus	Confer	Family	Order	Superclass	Phylum	Kingdom	Completeness
AP009315.1	conspersa	Gila	.	Leuciscidae	Cypriniformes	Actinopterygii	Chordata	Metazoa	complete
NC_054259.1	nigrescens	Gila	.	Leuciscidae	Cypriniformes	Actinopterygii	Chordata	Metazoa	complete
MT501376.1	nigrescens	Gila	.	Leuciscidae	Cypriniformes	Actinopterygii	Chordata	Metazoa	complete
NC_066955.1	symmetricus	Hesperoleucus	.	Leuciscidae	Cypriniformes	Actinopterygii	Chordata	Metazoa	complete
OL477724.1	symmetricus	Hesperoleucus	.	Leuciscidae	Cypriniformes	Actinopterygii	Chordata	Metazoa	complete
OK623671.1	coerulea	Gila	.	Leuciscidae	Cypriniformes	Actinopterygii	Chordata	Metazoa	complete
NC_066942.1	coerulea	Gila	.	Leuciscidae	Cypriniformes	Actinopterygii	Chordata	Metazoa	complete
NC_033927.1	alutaceus	Acrocheilus	.	Leuciscidae	Cypriniformes	Actinopterygii	Chordata	Metazoa	complete
AP012086.1	alutaceus	Acrocheilus	.	Leuciscidae	Cypriniformes	Actinopterygii	Chordata	Metazoa	complete
NC_028291.1	fulgida	Meda	.	Leuciscidae	Cypriniformes	Actinopterygii	Chordata	Metazoa	complete
KP013104.1	fulgida	Meda	.	Leuciscidae	Cypriniformes	Actinopterygii	Chordata	Metazoa	complete
AP011274.1	plumbeus	Couesius	.	Leuciscidae	Cypriniformes	Actinopterygii	Chordata	Metazoa	complete
NC_031568.1	plumbeus	Couesius	.	Leuciscidae	Cypriniformes	Actinopterygii	Chordata	Metazoa	complete
MT667255.1	corporalis	Semotilus	.	Leuciscidae	Cypriniformes	Actinopterygii	Chordata	Metazoa	complete
NC_054290.1	corporalis	Semotilus	.	Leuciscidae	Cypriniformes	Actinopterygii	Chordata	Metazoa	complete
AP012107.1	atromaculatus	Semotilus	.	Leuciscidae	Cypriniformes	Actinopterygii	Chordata	Metazoa	complete
NC_033946.1	atromaculatus	Semotilus	.	Leuciscidae	Cypriniformes	Actinopterygii	Chordata	Metazoa	complete
AB626851.1	potanini	Oreoleuciscus	.	Leuciscidae	Cypriniformes	Actinopterygii	Chordata	Metazoa	complete
NC_018817.1	potanini	Oreoleuciscus	.	Leuciscidae	Cypriniformes	Actinopterygii	Chordata	Metazoa	complete
KT748874.1	semotilus	Phoxinus	.	Leuciscidae	Cypriniformes	Actinopterygii	Chordata	Metazoa	complete
NC_029341.1	semotilus	Phoxinus	.	Leuciscidae	Cypriniformes	Actinopterygii	Chordata	Metazoa	complete
AP009147.1	lagowskii	Rhynchocypris	.	Leuciscidae	Cypriniformes	Actinopterygii	Chordata	Metazoa	complete
NC_015354.1	lagowskii	Rhynchocypris	.	Leuciscidae	Cypriniformes	Actinopterygii	Chordata	Metazoa	complete
NC_015357.1	steindachneri	Phoxinus	.	Leuciscidae	Cypriniformes	Actinopterygii	Chordata	Metazoa	complete
AP009148.1	steindachneri	Phoxinus	.	Leuciscidae	Cypriniformes	Actinopterygii	Chordata	Metazoa	complete
AP009149.1	percnurus	Phoxinus	.	Leuciscidae	Cypriniformes	Actinopterygii	Chordata	Metazoa	complete
NC_015360.1	percnurus	Phoxinus	.	Leuciscidae	Cypriniformes	Actinopterygii	Chordata	Metazoa	complete
